"state","total_sales","total_revenue"
"fl","82945","1151064556"
"ca","73148","1061077777"
"pa","53907","861234573"
"tx","45913","606495361"
"ga","34750","448927414"
"nj","27784","378115350"
"tn","20895","355418608"
"il","23486","347290026"
"oh","21575","310822810"
"mo","16013","231647138"
"mi","15511","230900127"
"nv","12685","191515238"
"nc","21845","189198593"
"wi","9851","137948766"
"mn","9429","129254486"
"co","7775","123449885"
"wa","7416","103419009"
"va","12027","103111220"
"az","8741","100910470"
"md","11158","82670625"
"ny","5699","64823485"
"on","3442","61311050"
"ne","4013","50455275"
"in","4325","46344850"
"ma","6729","45264250"
"sc","4251","43896558"
"pr","2725","25644350"
"la","2191","23052863"
"ut","1836","22152489"
"ms","1851","20812885"
"qc","1245","16549750"
"hi","1237","15080050"
"or","1155","13350050"
"ab","928","10367650"
"nm","171","1075900"
"ns","61","623000"
"ok","72","498100"
NULL,"26","323200"
"al","26","237700"
